nl_query,action,time,user,source,src_ip,hostname,severity,status_code,structured_query,event_ts
find crash events by user alice past week in file system,error,last7d,alice,filesystem,*,*,*,*,action=error user=alice source=filesystem earliest=-7d@d latest=now,2025-09-28T18:57:07
show me file upload events by user alice last 24 hours in file system,upload,last24h,alice,filesystem,*,*,*,*,action=upload user=alice source=filesystem earliest=-24h latest=now,2025-10-04T18:57:07
list file deletion events by user jsmith from ip 10.0.0.1 yesterday in secure shell,deletion,yesterday,jsmith,ssh,10.0.0.1,*,*,*,action=deletion user=jsmith source=ssh src_ip=10.0.0.1 earliest=@d-1d latest=@d,2025-10-03T06:21:07
find critical logout events by user anonymous today in host,logout,today,anonymous,host,*,*,critical,*,action=logout user=anonymous source=host severity=critical earliest=@d latest=now,2025-10-04T08:55:07
pull up delete events by user root with status 404 past week in event viewer,deletion,last7d,root,windows,*,*,*,404,action=deletion user=root source=windows status_code=404 earliest=-7d@d latest=now,2025-10-01T18:57:07
show me download events by user anonymous on app-server-03 with status 503 last 30 days in server,download,last30d,anonymous,host,*,app-server-03,*,503,action=download user=anonymous source=host hostname=app-server-03 status_code=503 earliest=-30d@d latest=now,2025-09-16T18:57:07
pull up crit sign off events by user jsmith from ip 10.10.10.5 yesterday in network security,logout,yesterday,jsmith,firewall,10.10.10.5,*,critical,*,action=logout user=jsmith source=firewall src_ip=10.10.10.5 severity=critical earliest=@d-1d latest=@d,2025-10-03T01:42:07
display error download events by user anonymous from ip 10.0.0.1 with status 200 since midnight in apache,download,today,anonymous,web,10.0.0.1,*,error,200,action=download user=anonymous source=web src_ip=10.0.0.1 severity=error status_code=200 earliest=@d latest=now,2025-10-04T18:58:07
show me informational login events by user jsmith from ip 10.10.10.5 with status 500 this month in database,login,last30d,jsmith,database,10.10.10.5,*,info,500,action=login user=jsmith source=database src_ip=10.10.10.5 severity=info status_code=500 earliest=-30d@d latest=now,2025-09-19T18:57:07
pull up request events by user jsmith from ip 10.10.10.5 this month in web server,access,last30d,jsmith,web,10.10.10.5,*,*,*,action=access user=jsmith source=web src_ip=10.10.10.5 earliest=-30d@d latest=now,2025-09-16T18:57:07
display successful login events by user admin last hour in windows,success,last1h,admin,windows,*,*,*,*,action=success user=admin source=windows earliest=-60m latest=now,2025-10-04T18:21:07
give me error restart events by user anonymous today in auth log,restart,today,anonymous,auth,*,*,error,*,action=restart user=anonymous source=auth severity=error earliest=@d latest=now,2025-10-04T02:22:07
find failed login events by user jsmith from ip 10.0.0.1 with status 403 last 7 days in server,failure,last7d,jsmith,host,10.0.0.1,*,*,403,action=failure user=jsmith source=host src_ip=10.0.0.1 status_code=403 earliest=-7d@d latest=now,2025-10-04T18:57:07
display connection events by user admin from ip 10.0.0.1 last 30 days in security log,access,last30d,admin,auth,10.0.0.1,*,*,*,action=access user=admin source=auth src_ip=10.0.0.1 earliest=-30d@d latest=now,2025-09-16T18:57:07
pull up err logins events by user bob this week in windows event log,login,last7d,bob,windows,*,*,error,*,action=login user=bob source=windows severity=error earliest=-7d@d latest=now,2025-09-29T18:57:07
find restart events by user bob yesterday in file system,restart,yesterday,bob,filesystem,*,*,*,*,action=restart user=bob source=filesystem earliest=@d-1d latest=@d,2025-10-03T01:17:07
find failure events on load-balancer with status 500 in the last 24 hours in server,error,today,*,host,*,load-balancer,*,500,action=error source=host hostname=load-balancer status_code=500 earliest=@d latest=now,2025-10-04T06:40:07
find error events by user admin past week in database,error,last7d,admin,database,*,*,*,*,action=error user=admin source=database earliest=-7d@d latest=now,2025-10-02T18:57:07
pull up upload events by user anonymous from ip 172.16.0.50 in the last 24 hours in event viewer,upload,today,anonymous,windows,172.16.0.50,*,*,*,action=upload user=anonymous source=windows src_ip=172.16.0.50 earliest=@d latest=now,2025-10-04T05:06:07
show me service restart events by user root yesterday in network security,restart,yesterday,root,firewall,*,*,*,*,action=restart user=root source=firewall earliest=@d-1d latest=@d,2025-10-03T00:03:07
find info sign off events by user root last 24 hours in web server,logout,last24h,root,web,*,*,info,*,action=logout user=root source=web severity=info earliest=-24h latest=now,2025-10-04T13:57:07
pull up warning failure events with status 503 last 30 days in file system,error,last30d,*,filesystem,*,*,warning,503,action=error source=filesystem severity=warning status_code=503 earliest=-30d@d latest=now,2025-09-29T18:57:07
show me informational auth success events by user jsmith from ip 192.168.1.100 on app-server-03 this month in nginx,success,last30d,jsmith,web,192.168.1.100,app-server-03,info,*,action=success user=jsmith source=web src_ip=192.168.1.100 hostname=app-server-03 severity=info earliest=-30d@d latest=now,2025-09-27T18:57:07
find connection events by user admin past week in nginx,access,last7d,admin,web,*,*,*,*,action=access user=admin source=web earliest=-7d@d latest=now,2025-09-29T18:57:07
show me logins events by user admin last 30 days in network security,login,last30d,admin,firewall,*,*,*,*,action=login user=admin source=firewall earliest=-30d@d latest=now,2025-09-20T18:57:07
show me crash events by user root yesterday in database,error,yesterday,root,database,*,*,*,*,action=error user=root source=database earliest=@d-1d latest=@d,2025-10-03T02:27:07
give me file deletion events by user bob on db-prod-02 with status 404 the previous day in machine,deletion,yesterday,bob,host,*,db-prod-02,*,404,action=deletion user=bob source=host hostname=db-prod-02 status_code=404 earliest=@d-1d latest=@d,2025-10-03T23:38:07
list failure events by user root last 7 days in ssh,error,last7d,root,ssh,*,*,*,*,action=error user=root source=ssh earliest=-7d@d latest=now,2025-09-29T18:57:07
find logout events yesterday in event viewer,logout,yesterday,*,windows,*,*,*,*,action=logout source=windows earliest=@d-1d latest=@d,2025-10-03T21:17:07
show me failure events by user admin this month in machine,error,last30d,admin,host,*,*,*,*,action=error user=admin source=host earliest=-30d@d latest=now,2025-09-23T18:57:07
show me logout events by user root on load-balancer yesterday in security log,logout,yesterday,root,auth,*,load-balancer,*,*,action=logout user=root source=auth hostname=load-balancer earliest=@d-1d latest=@d,2025-10-03T07:12:07
give me auth success events by user alice from ip 172.16.0.50 today in database,success,today,alice,database,172.16.0.50,*,*,*,action=success user=alice source=database src_ip=172.16.0.50 earliest=@d latest=now,2025-10-04T04:44:07
give me failure events by user anonymous from ip 192.168.0.1 on firewall-01 this month in web server,error,last30d,anonymous,web,192.168.0.1,firewall-01,*,*,action=error user=anonymous source=web src_ip=192.168.0.1 hostname=firewall-01 earliest=-30d@d latest=now,2025-09-18T18:57:07
find file upload events by user alice past 60 minutes in network security,upload,last1h,alice,firewall,*,*,*,*,action=upload user=alice source=firewall earliest=-60m latest=now,2025-10-04T18:05:07
give me file upload events by user bob on app-server-03 past week in nginx,upload,last7d,bob,web,*,app-server-03,*,*,action=upload user=bob source=web hostname=app-server-03 earliest=-7d@d latest=now,2025-09-29T18:57:07
display crash events by user alice the previous day in database,error,yesterday,alice,database,*,*,*,*,action=error user=alice source=database earliest=@d-1d latest=@d,2025-10-03T11:53:07
give me authentication events by user anonymous from ip 10.0.0.1 the previous day in windows event log,login,yesterday,anonymous,windows,10.0.0.1,*,*,*,action=login user=anonymous source=windows src_ip=10.0.0.1 earliest=@d-1d latest=@d,2025-10-03T18:14:07
pull up download events by user root since yesterday in web server,download,last24h,root,web,*,*,*,*,action=download user=root source=web earliest=-24h latest=now,2025-10-04T03:57:07
display err logout events by user anonymous with status 200 past 60 minutes in firewall logs,logout,last1h,anonymous,firewall,*,*,error,200,action=logout user=anonymous source=firewall severity=error status_code=200 earliest=-60m latest=now,2025-10-04T18:39:07
list logout events by user admin yesterday in server,logout,yesterday,admin,host,*,*,*,*,action=logout user=admin source=host earliest=@d-1d latest=@d,2025-10-03T05:26:07
display access events past week in windows event log,access,last7d,*,windows,*,*,*,*,action=access source=windows earliest=-7d@d latest=now,2025-09-29T18:57:07
display informational service restart events by user root last hour in db,restart,last1h,root,database,*,*,info,*,action=restart user=root source=database severity=info earliest=-60m latest=now,2025-10-04T17:58:07
display successful login events this week in network security,success,last7d,*,firewall,*,*,*,*,action=success source=firewall earliest=-7d@d latest=now,2025-09-30T18:57:07
list download events by user admin on load-balancer past week in db,download,last7d,admin,database,*,load-balancer,*,*,action=download user=admin source=database hostname=load-balancer earliest=-7d@d latest=now,2025-10-03T18:57:07
pull up informational service restart events from ip 172.16.0.50 yesterday in nginx,restart,yesterday,*,web,172.16.0.50,*,info,*,action=restart source=web src_ip=172.16.0.50 severity=info earliest=@d-1d latest=@d,2025-10-03T14:23:07
list sign off events by user alice from ip 10.10.10.5 with status 502 since yesterday in firewall logs,logout,last24h,alice,firewall,10.10.10.5,*,*,502,action=logout user=alice source=firewall src_ip=10.10.10.5 status_code=502 earliest=-24h latest=now,2025-10-03T22:57:07
show me failure events by user bob last 30 days in file system,error,last30d,bob,filesystem,*,*,*,*,action=error user=bob source=filesystem earliest=-30d@d latest=now,2025-09-11T18:57:07
give me file deletion events from ip 192.168.0.1 the previous day in db,deletion,yesterday,*,database,192.168.0.1,*,*,*,action=deletion source=database src_ip=192.168.0.1 earliest=@d-1d latest=@d,2025-10-03T05:55:07
pull up successful login events by user jsmith last hour in host,success,last1h,jsmith,host,*,*,*,*,action=success user=jsmith source=host earliest=-60m latest=now,2025-10-04T18:12:07
find critical logins events by user alice on firewall-01 with status 403 past week in authentication log,login,last7d,alice,auth,*,firewall-01,critical,403,action=login user=alice source=auth hostname=firewall-01 severity=critical status_code=403 earliest=-7d@d latest=now,2025-09-30T18:57:07
pull up err restart events by user admin from ip 172.16.0.50 this week in filesystem,restart,last7d,admin,filesystem,172.16.0.50,*,error,*,action=restart user=admin source=filesystem src_ip=172.16.0.50 severity=error earliest=-7d@d latest=now,2025-10-03T18:57:07
display auth success events by user root from ip 192.168.0.1 with status 503 this week in network security,success,last7d,root,firewall,192.168.0.1,*,*,503,action=success user=root source=firewall src_ip=192.168.0.1 status_code=503 earliest=-7d@d latest=now,2025-09-28T18:57:07
give me warning login events by user admin with status 200 since yesterday in filesystem,login,last24h,admin,filesystem,*,*,warning,200,action=login user=admin source=filesystem severity=warning status_code=200 earliest=-24h latest=now,2025-10-04T07:57:07
display restart events by user bob from ip 172.16.0.50 since midnight in windows,restart,today,bob,windows,172.16.0.50,*,*,*,action=restart user=bob source=windows src_ip=172.16.0.50 earliest=@d latest=now,2025-10-04T05:37:07
give me warning download events by user alice on web-server-01 last 24 hours in windows,download,last24h,alice,windows,*,web-server-01,warning,*,action=download user=alice source=windows hostname=web-server-01 severity=warning earliest=-24h latest=now,2025-10-03T20:57:07
pull up error upload events by user bob from ip 192.168.1.100 yesterday in filesystem,upload,yesterday,bob,filesystem,192.168.1.100,*,error,*,action=upload user=bob source=filesystem src_ip=192.168.1.100 severity=error earliest=@d-1d latest=@d,2025-10-03T07:37:07
list service restart events last 7 days in db,restart,last7d,*,database,*,*,*,*,action=restart source=database earliest=-7d@d latest=now,2025-10-03T18:57:07
pull up logins events by user root on web-server-01 with status 503 last 7 days in secure shell,login,last7d,root,ssh,*,web-server-01,*,503,action=login user=root source=ssh hostname=web-server-01 status_code=503 earliest=-7d@d latest=now,2025-10-02T18:57:07
find warning upload events in the last 24 hours in web server,upload,today,*,web,*,*,warning,*,action=upload source=web severity=warning earliest=@d latest=now,2025-10-04T00:55:07
pull up warning auth failure events with status 403 since yesterday in filesystem,failure,last24h,*,filesystem,*,*,warning,403,action=failure source=filesystem severity=warning status_code=403 earliest=-24h latest=now,2025-10-04T16:57:07
list file deletion events by user alice with status 404 today in web server,deletion,today,alice,web,*,*,*,404,action=deletion user=alice source=web status_code=404 earliest=@d latest=now,2025-10-04T16:32:07
show me failed login events by user root last hour in apache,failure,last1h,root,web,*,*,*,*,action=failure user=root source=web earliest=-60m latest=now,2025-10-04T18:22:07
list service restart events by user admin in the last 24 hours in filesystem,restart,today,admin,filesystem,*,*,*,*,action=restart user=admin source=filesystem earliest=@d latest=now,2025-10-04T05:13:07
show me sign off events today in secure shell,logout,today,*,ssh,*,*,*,*,action=logout source=ssh earliest=@d latest=now,2025-10-04T07:29:07
find file deletion events by user root from ip 192.168.1.100 last hour in host,deletion,last1h,root,host,192.168.1.100,*,*,*,action=deletion user=root source=host src_ip=192.168.1.100 earliest=-60m latest=now,2025-10-04T18:02:07
display crit connection events since yesterday in network security,access,last24h,*,firewall,*,*,critical,*,action=access source=firewall severity=critical earliest=-24h latest=now,2025-10-04T16:57:07
pull up auth failure events by user jsmith from ip 10.10.10.5 last 24 hours in web server,failure,last24h,jsmith,web,10.10.10.5,*,*,*,action=failure user=jsmith source=web src_ip=10.10.10.5 earliest=-24h latest=now,2025-10-04T06:57:07
list access events by user admin on load-balancer with status 503 last 24 hours in apache,access,last24h,admin,web,*,load-balancer,*,503,action=access user=admin source=web hostname=load-balancer status_code=503 earliest=-24h latest=now,2025-10-04T11:57:07
find error file download events by user alice from ip 172.16.0.50 past week in filesystem,download,last7d,alice,filesystem,172.16.0.50,*,error,*,action=download user=alice source=filesystem src_ip=172.16.0.50 severity=error earliest=-7d@d latest=now,2025-10-01T18:57:07
give me service restart events by user anonymous on firewall-01 last 24 hours in security log,restart,last24h,anonymous,auth,*,firewall-01,*,*,action=restart user=anonymous source=auth hostname=firewall-01 earliest=-24h latest=now,2025-10-04T01:57:07
display connection events by user admin from ip 10.10.10.5 on load-balancer last 24 hours in file system,access,last24h,admin,filesystem,10.10.10.5,load-balancer,*,*,action=access user=admin source=filesystem src_ip=10.10.10.5 hostname=load-balancer earliest=-24h latest=now,2025-10-03T19:57:07
list service restart events by user anonymous from ip 192.168.0.1 in the last 24 hours in ssh,restart,today,anonymous,ssh,192.168.0.1,*,*,*,action=restart user=anonymous source=ssh src_ip=192.168.0.1 earliest=@d latest=now,2025-10-04T12:02:07
find file deletion events by user root on db-prod-02 last 24 hours in security log,deletion,last24h,root,auth,*,db-prod-02,*,*,action=deletion user=root source=auth hostname=db-prod-02 earliest=-24h latest=now,2025-10-03T21:57:07
show me crit restart events by user admin from ip 172.16.0.50 on load-balancer this month in firewall,restart,last30d,admin,firewall,172.16.0.50,load-balancer,critical,*,action=restart user=admin source=firewall src_ip=172.16.0.50 hostname=load-balancer severity=critical earliest=-30d@d latest=now,2025-09-23T18:57:07
display warn delete events from ip 10.0.0.1 last hour in firewall,deletion,last1h,*,firewall,10.0.0.1,*,warning,*,action=deletion source=firewall src_ip=10.0.0.1 severity=warning earliest=-60m latest=now,2025-10-04T18:18:07
list authentication events from ip 192.168.0.1 since midnight in network security,login,today,*,firewall,192.168.0.1,*,*,*,action=login source=firewall src_ip=192.168.0.1 earliest=@d latest=now,2025-10-04T12:00:07
list info successful login events by user jsmith from ip 192.168.0.1 last hour in auth log,success,last1h,jsmith,auth,192.168.0.1,*,info,*,action=success user=jsmith source=auth src_ip=192.168.0.1 severity=info earliest=-60m latest=now,2025-10-04T18:54:07
pull up auth failure events by user bob with status 502 since yesterday in server,failure,last24h,bob,host,*,*,*,502,action=failure user=bob source=host status_code=502 earliest=-24h latest=now,2025-10-04T03:57:07
give me logins events by user bob last 24 hours in machine,login,last24h,bob,host,*,*,*,*,action=login user=bob source=host earliest=-24h latest=now,2025-10-04T03:57:07
pull up info service restart events by user alice last 30 days in windows,restart,last30d,alice,windows,*,*,info,*,action=restart user=alice source=windows severity=info earliest=-30d@d latest=now,2025-09-09T18:57:07
display emergency authentication events by user jsmith in the last 24 hours in network security,login,today,jsmith,firewall,*,*,critical,*,action=login user=jsmith source=firewall severity=critical earliest=@d latest=now,2025-10-04T10:28:07
list service restart events by user anonymous from ip 172.16.0.50 this week in database,restart,last7d,anonymous,database,172.16.0.50,*,*,*,action=restart user=anonymous source=database src_ip=172.16.0.50 earliest=-7d@d latest=now,2025-10-03T18:57:07
find authentication events by user admin last 30 days in authentication log,login,last30d,admin,auth,*,*,*,*,action=login user=admin source=auth earliest=-30d@d latest=now,2025-09-12T18:57:07
pull up critical file download events by user root from ip 10.10.10.5 this week in apache,download,last7d,root,web,10.10.10.5,*,critical,*,action=download user=root source=web src_ip=10.10.10.5 severity=critical earliest=-7d@d latest=now,2025-10-02T18:57:07
give me failed login events by user root since midnight in nginx,failure,today,root,web,*,*,*,*,action=failure user=root source=web earliest=@d latest=now,2025-10-04T17:39:07
show me file upload events by user jsmith from ip 172.16.0.50 past week in auth log,upload,last7d,jsmith,auth,172.16.0.50,*,*,*,action=upload user=jsmith source=auth src_ip=172.16.0.50 earliest=-7d@d latest=now,2025-10-04T18:57:07
display logout events by user jsmith yesterday in db,logout,yesterday,jsmith,database,*,*,*,*,action=logout user=jsmith source=database earliest=@d-1d latest=@d,2025-10-03T02:30:07
list crit request events from ip 10.0.0.1 on app-server-03 the previous day in ssh,access,yesterday,*,ssh,10.0.0.1,app-server-03,critical,*,action=access source=ssh src_ip=10.0.0.1 hostname=app-server-03 severity=critical earliest=@d-1d latest=@d,2025-10-03T15:24:07
find auth failure events by user anonymous with status 404 this week in db,failure,last7d,anonymous,database,*,*,*,404,action=failure user=anonymous source=database status_code=404 earliest=-7d@d latest=now,2025-09-28T18:57:07
display informational service restart events by user root since midnight in auth log,restart,today,root,auth,*,*,info,*,action=restart user=root source=auth severity=info earliest=@d latest=now,2025-10-04T00:04:07
display upload events by user bob on db-prod-02 last 24 hours in file system,upload,last24h,bob,filesystem,*,db-prod-02,*,*,action=upload user=bob source=filesystem hostname=db-prod-02 earliest=-24h latest=now,2025-10-03T19:57:07
display crit authentication events by user bob yesterday in db,login,yesterday,bob,database,*,*,critical,*,action=login user=bob source=database severity=critical earliest=@d-1d latest=@d,2025-10-03T21:33:07
find error events by user anonymous last 24 hours in machine,error,last24h,anonymous,host,*,*,*,*,action=error user=anonymous source=host earliest=-24h latest=now,2025-10-04T05:57:07
show me logout events from ip 10.0.0.1 on web-server-01 last hour in db,logout,last1h,*,database,10.0.0.1,web-server-01,*,*,action=logout source=database src_ip=10.0.0.1 hostname=web-server-01 earliest=-60m latest=now,2025-10-04T18:20:07
list successful login events by user alice last 30 days in security log,success,last30d,alice,auth,*,*,*,*,action=success user=alice source=auth earliest=-30d@d latest=now,2025-09-19T18:57:07
pull up error login events by user admin on web-server-01 last 24 hours in ssh,login,last24h,admin,ssh,*,web-server-01,error,*,action=login user=admin source=ssh hostname=web-server-01 severity=error earliest=-24h latest=now,2025-10-04T12:57:07
pull up request events by user admin from ip 172.16.0.50 with status 200 yesterday in network security,access,yesterday,admin,firewall,172.16.0.50,*,*,200,action=access user=admin source=firewall src_ip=172.16.0.50 status_code=200 earliest=@d-1d latest=@d,2025-10-03T23:59:07
give me request events by user anonymous the previous day in authentication log,access,yesterday,anonymous,auth,*,*,*,*,action=access user=anonymous source=auth earliest=@d-1d latest=@d,2025-10-03T12:51:07
list login events on web-server-01 with status 404 today in nginx,login,today,*,web,*,web-server-01,*,404,action=login source=web hostname=web-server-01 status_code=404 earliest=@d latest=now,2025-10-04T13:38:07
show me logout events by user bob past 60 minutes in database,logout,last1h,bob,database,*,*,*,*,action=logout user=bob source=database earliest=-60m latest=now,2025-10-04T18:30:07
list download events by user jsmith past 60 minutes in ssh,download,last1h,jsmith,ssh,*,*,*,*,action=download user=jsmith source=ssh earliest=-60m latest=now,2025-10-04T18:57:07
pull up warning auth success events by user anonymous from ip 172.16.0.50 in the last 24 hours in database,success,today,anonymous,database,172.16.0.50,*,warning,*,action=success user=anonymous source=database src_ip=172.16.0.50 severity=warning earliest=@d latest=now,2025-10-04T01:45:07
display failed login events by user alice from ip 192.168.1.100 today in network security,failure,today,alice,firewall,192.168.1.100,*,*,*,action=failure user=alice source=firewall src_ip=192.168.1.100 earliest=@d latest=now,2025-10-04T10:04:07
list download events by user jsmith from ip 10.0.0.1 yesterday in security log,download,yesterday,jsmith,auth,10.0.0.1,*,*,*,action=download user=jsmith source=auth src_ip=10.0.0.1 earliest=@d-1d latest=@d,2025-10-03T16:05:07
give me service restart events by user root with status 500 past week in machine,restart,last7d,root,host,*,*,*,500,action=restart user=root source=host status_code=500 earliest=-7d@d latest=now,2025-10-01T18:57:07
pull up sign off events by user anonymous with status 503 last 24 hours in auth log,logout,last24h,anonymous,auth,*,*,*,503,action=logout user=anonymous source=auth status_code=503 earliest=-24h latest=now,2025-10-04T03:57:07
display login events by user alice from ip 192.168.0.1 last 7 days in ssh,login,last7d,alice,ssh,192.168.0.1,*,*,*,action=login user=alice source=ssh src_ip=192.168.0.1 earliest=-7d@d latest=now,2025-10-02T18:57:07
display download events by user bob since yesterday in server,download,last24h,bob,host,*,*,*,*,action=download user=bob source=host earliest=-24h latest=now,2025-10-04T07:57:07
